MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
21	"Anxionnaz"	11			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.789	.309	.596	.955	.1504752	1.058515													-.23	.257	.941	.021	-.226																3	4					
22	"Apithy"	12	7	12	"Socialiste"	"Rep. Indep."	"IPAS"	"Socialist"	"Right"	"Right"	.516	.283	-.483	.802	-.1011816	-.8898792	.815	.782	.096	.928	.485184	-.0093202	.777	.76	.272	.943	.5187536	-.104048	-.509	.179	.812	.002	-.498									0	0												
23	"Arabi el"			13	"Not seated"	"Not seated"	"Rep. Soc."	"Not seated"	"Not Seated"	"Gaullist"													.762	.712	-.015	.958	.1768816	-.1664768	-.021	.348	.969	.008	-.008																						
24	"Aragon"	13			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.475	.344	-.808	.802	-.0466992	-1.699332													.252	-.941	.881	.005	.267											1	"dissident"	0									
25	"Arbeltier"		8	14	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.944	.242	.596	.997	-.65664	.2033991	.957	.289	.957	1	-.0535104	.6599616	-.118	-.779	.998	.032	-.112																						
26	"Arbogast"			15	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.907	.605	.71	.98	.3017392	.274984	-.587	-.122	.987	.096	-.561																						
27	"Archidice"	14			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.962	.658	-.753	.995	.4773696	-1.092242													-.097	-.771	1	.12	-.153																						
28	"Archimede"	15			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592													.587	0	1	.457	.654																						
29	"Arnal"	16	9	16	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.697	-.717	.982	.4592088	-.8146416	.93	.241	.485	.997	-.589152	.1694079	.922	.445	.896	1	.0386464	.6049648	-.136	-.736	.989	.027	-.142	1	1																				
30	"Arrighi"			17	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.781	.624	.177	.909	.2705248	.059456	-.032	.298	.927	.036	.004																					2	1
31	"Arthaud"	17			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.459	.654																						
32	"Asseray"	18			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.813	.691	.173	.96	.5500128	-.1634472													-.531	-.039	.96	.013	-.526											2	"dissident"	0									
33	"Astier dlV"	19	10	18	"Progressiste"	"Progressiste"	"Progressiste"	"Other"	"Other"	"Other"	.955	-.498	-.867	.988	-.856152	-.5085024	.968	-.665	-.539	.997	-1.034208	-.1765351	.991	-.849	-.528	1	-1.208443	-.3180896	.804	-.335	.994	.002	.795																						
34	"Aubame"	20	11	19	"Socialiste"	"Ind. Outremer"	"Ind. Outremer"	"Socialist"	"Right"	"Right"	.81	.619	-.524	.959	.2957616	-1.227151	.715	.67	.376	.905	.244416	.0921053	.791	.57	.519	.943	.2645792	.3611952	-.529	-.105	.899	.012	-.511																						
35	"Auban"	21	12	20	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.952	.696	-.718	.982	.4592088	-.8146416	.938	.244	.557	.997	-.66576	.1979167	.91	.405	.903	.98	.0386464	.6034784	-.136	-.831	.99	.012	-.115	0	0																				
36	"Aubin"		13		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.732	.693	.287	.903	.368448	.0071272							-.531	-.103	.924	.013	-.515			1	0																		
37	"Aubry A"		14		"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
38	"Aubry P"		15		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.801	.63	.776	.96	.359328	.3366228							-.803	-.438	.925	.016	-.725					1	0																
39	"Audeguil"	23	16		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.951	.683	-.73	.982	.4618032	-.8250192	.926	.241	.474	.997	-.605568	.1716009							-.105	-.818	.992	.01	-.11																						
40	"Augarde"	24			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.902	.789	.209	.985	.5811456	-.1634472													-.507	-.064	.982	.065	-.496											2	"not dissident"	0									
41	"Auguet"	25			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.865	-.501	1	-1.027382	-.4358592													.587	0	1	.463	.654																						
42	"Aujoulat"	26	17		"MRP"	"Ind. Outremer"	"Not seated"	"Christian Democrat"	"Right"	"Not Seated"	.895	.845	-.119	.989	.8068584	-.8146416	.737	.675	.426	.919	.244416	.0932018							-.529	-.105	.922	.006	-.506											2	"not dissident"	0									
43	"Aumeran"	27	18		"PRL"	"Rep. Indep."	"Not seated"	"Right"	"Right"	"Not Seated"	.801	.17	.985	.95	-.0441048	1.559234	.747	.787	-.545	.894	1.032384	-.3311403							-.3	.823	.912	.042	-.178									3	2				3	4							
44	"Auriol."	28			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
45	"Babet"	29	19	21	"UDSR"	"UDSR"	"UDSR"	"Radical"	"Radical"	"Radical"	.632	.39	.23	.792	.5162856	.3087336	.787	.687	.338	.937	.35568	.1655702	.816	.556	.356	.947	.0178368	.0401328	-.497	.859	.854	.004	-.473					0	2										3	1			1	2	0
46	"Bachelet"	30			"Act. Pays Soc."	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.817	.484	.875	.967	.3943488	1.437298													-.33	.332	.98	.028	-.337																						
47	"Bacon"	31	20	22	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.944	.957	.23	.994	.6382224	-.2309016	.775	.758	.5	.922	.432288	.0252193	.916	.607	.765	.987	.3255216	.29728	-.544	-.043	.955	.002	-.545			1	1							2	"not dissident"	0									
48	"Badie"	32	21	23	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.719	.394	.348	.88	.2646288	.6978936	.655	.602	.572	.87	.11856	.2203947	.687	.574	.042	.888	.0624288	.0713472	-.24	-.064	.805	.002	-.238																3	1				2	1
49	"Badiou"	33			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.941	.691	-.723	.979	.4592088	-.8146416													-.136	-.823	.985	.073	-.123																						
50	"Baillien"			24	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.709	.599	.049	.868	.0832384	.1516128	-.005	-.026	.875	.028	.063																				4	2	0
51	"Balestre"			25	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.858	.636	.531	.957	.3299808	.2140416	-.573	-.112	.95	.09	-.561																						
52	"Ballanger"	34	22	26	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.974	-.756	-.408	.997	-.856152	-.5085024	.966	-.945	-.328	1	-.997728	-.1787281	.992	-.842	-.539	1	-1.208443	-.3879504	.811	-.342	.999	.011	.803																						
53	"Bapst"		23		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.829	.767	.447	.969	.386688	.029057							-.518	-.032	.972	.042	-.506			3	3																		
54	"Barange"	35	24		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.921	.822	.229	.994	.5500128	-.1634472	.813	.751	.456	.94	.368448	.0515351							-.528	-.043	.978	.004	-.523			1	1							2	"not dissident"	0									
55	"Barbier"	36	25		"Rep. Dem. Soc."	"Rep. Indep."	"Not seated"	"Right"	"Right"	"Not Seated"	.805	.423	.676	.965	.4566144	.9962496	.88	.896	.056	.979	.558144	.0010965							-.631	.37	.955	.004	-.49									3	0				0	1							
56	"Barbot"			27	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.252	.826																						
57	"Bardon"		26		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.723	.686	-.321	.867	.321024	-.1244518							-.076	.39	.883	.009	-.087																						
58	"Bardoux"	37	27		"Act. Pays Soc."	"Rep. Indep."	"Not seated"	"Right"	"Right"	"Not Seated"	.8	.381	.8	.956	.3320832	1.084459	.819	.817	-.072	.925	.503424	-.0186404							-.352	.337	.949	.002	-.344									0	0												
59	"Barel"	38		28	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.992	-.84	-.543	1	-1.208443	-.5261856	.766	0	1	.346	.828																						
60	"Barennes"			29	"Not seated"	"Not seated"	"IPAS"	"Not seated"	"Not Seated"	"Right"													.831	.798	.237	.969	.5172672	-.1218848	-.396	.213	.969	.033	-.325																		2	1			
61	"Barrachin"	39	28	30	"PRL"	"RPF, URAS, RS"	"IPAS"	"Right"	"Gaullist"	"Right"	.837	.118	.993	.993	-.0466992	1.509941	.818	.792	-.611	.948	.432288	-.2384868	.801	.85	.116	.936	.6183424	-.2422832	-.127	.52	.958	.003	-.118														4	4			1	1			
62	"Barres"		29		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.843	.63	-.777	.945	.160512	-.2214912							-.014	.362	.925	.033	-.014							1	1														
63	"Barrier"		30		"Not seated"	"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.833	.693	.407	.978	.311904	.1524123							-.28	.137	.927	.045	-.263					2	2																
64	"Barrot"	40	31	31	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.938	.896	.445	.991	.635628	-.12972	.814	.757	.416	.966	.384864	.0202851	.905	.613	.787	.973	.312144	.2556608	-.498	-.044	.977	.023	-.502			2	2							2	"not dissident"	0									
65	"Barry-Dia"		32	32	"Not seated"	"Radical-Soc."	"Radical-Soc."	"Not seated"	"Gaullist"	"Radical"							.781	.689	.345	.968	.31008	.151864	.751	.516	-.045	.94	-.11148	-.0163504	-.524	-.121	.817	.007	-.581								1												1	"favor school aid"	0
66	"Barthelemy"	41	33	33	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.841	-.541	1	-1.208443	-.5261856	.802	-.334	1	.014	.805																						
67	"Bartolini"	42	34		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.871	-.491	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281							.802	-.337	1	.014	.799																						
68	"Baryelon"			35	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
69	"Bas"	43			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.93	.819	.238	.991	.6382224	-.06486													-.507	-.064	.991	.065	-.496											3	"not dissident"	0									
70	"Bastid"	44			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.802	.526	.341	.933	.6304392	.8457744													-.754	.004	.916	.202	-.726																2	1					
71	"Bastide"	45	35		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592	.977	-.945	-.327	1	-1.570464	-.2379386							.802	-.347	1	.012	.803																						
72	"Baudry d'A"	46	36	36	"PRL"	"Rep. Indep."	"IPAS"	"Right"	"Right"	"Right"	.819	.326	.945	.986	.1582584	1.32055	.868	.989	-.129	.966	.623808	-.0849781	.832	.873	.071	.957	.549968	-.2853888	-.315	.416	.965	.009	-.307									3	2				4	2			3	2			
73	"Baurens"	47	37	37	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.943	.704	-.71	.979	.4592088	-.8146416	.934	.242	.531	1	-.660288	.1962719	.942	.271	.963	.993	-.044592	.6436112	-.102	-.807	.994	.009	-.11	0	0																				
74	"Baylac"			38	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.974	.964	-.267	1	1.201011	-.4057872	.08	.602	1	.501	.208																						
75	"Baylet"	48	38	39	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.797	.547	.333	.958	.4981248	.4358592	.716	.586	.745	.917	.11856	.2280702	.695	.547	.073	.863	.0386464	.2541744	-.64	-.443	.872	.01	-.574					0	0										0	1			3	"favor school aid"	0
76	"Bayrou"	49	39	40	"UDSR"	"RPF, URAS, RS"	"Rep. Soc."	"Radical"	"Gaullist"	"Gaullist"	.82	.173	.8	.982	-.19458	1.400976	.829	.644	-.765	.932	.17328	-.162829	.743	.684	.175	.91	.3745728	.0193232	-.036	.347	.96	.004	-.029							1	3								3	3					
77	"Beauguit"			41	"Not seated"	"Not seated"	"Non Inscrit"	"Not seated"	"Not Seated"	"Non-Affiliated"													.705	.789	-.055	.901	.3716	-.2839024	-.048	.413	.879	.004	-.044																						
78	"Beaumont"		40		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.853	.759	.182	.941	.377568	.1123904							-.323	.298	.959	.008	-.329									0	0												
79	"Beauquier"	50			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.929	.818	.191	.997	.5811456	-.1634472													-.507	-.064	.994	.065	-.496											2	"not dissident"	0									
80	"Bechard"	51	41		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.919	.721	-.255	1	.3294888	0	.936	.244	.526	.997	-.66576	.1979167							-.243	-.891	.997	.023	-.254																						
81	"Beche"	52	42		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.951	.696	-.718	.982	.4592088	-.8146416	.945	.245	.622	1	-.663936	.216557							-.155	-.78	.994	.063	-.136																						
82	"Bechir Sow"		43		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.754	.679	-.474	.912	.211584	-.1167763							-.064	.403	.912	.016	-.063																						
83	"Becquet"	53	44		"Rep. Dem. Soc."	"Rep. Indep."	"Not seated"	"Right"	"Right"	"Not Seated"	.839	.442	.712	.973	.4566144	.9936552	.88	.835	.194	.953	.5472	.0126096							-.445	.2	.961	.008	-.358									0	0				1	0							
84	"Begouin A."	54	45	42	"Radical-Soc."	"Radical-Soc."	"Paysan"	"Radical"	"Radical"	"Right"	.809	.325	.672	.946	.1504752	1.06111	.768	.669	.666	.916	.37392	.274671	.767	.822	.122	.946	.5440224	-.1858	-.262	.358	.873	.005	-.29					2	1										3	4					
85	"Begouin L."			43	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.756	.621	.091	.933	.1768816	-.1070208	-.395	.122	.883	.179	-.421																				1	2	0
86	"Ben Aly C"	55	46		"Musul, Ind."	"MRP"	"Not seated"	"Radical"	"Christian Democrat"	"Not Seated"	.792	.579	.152	.921	.5396352	-.3087336	.779	.683	.406	.924	.357504	.0575658							-.548	-.097	.928	.017	-.537			2	3													0					
87	"Ben Tounes"	61	55		"Musul, Ind."	"Ind. Paysan"	"Not seated"	"Other"	"Right"	"Not Seated"	.704	.465	.281	.859	.5552016	.090804	.756	.741	-.021	.886	.485184	-.0093202							-.6	.11	.868	.025	-.578									0													
88	"Benard"		47	44	"Not seated"	"UDSR"	"Rad. (Faure)"	"Not seated"	"Radical"	"Radical"							.824	.677	.432	.953	.352032	.1666667	.785	.736	.225	.941	.4919984	0	-.683	.037	.893	.004	-.224					0	2														4	2	0
89	"Benbahmed"		48		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.94	.25	.598	.997	-.65664	.2033991							-.117	-.755	.997	.066	-.107																						
90	"Benchenno."	56			"Musul, Ind."	"Not seated"	"Not seated"	"Other"	"Not Seated"	"Not Seated"	.754	.554	.072	.912	.531852	-.3061392													-.516	.002	.908	.013	-.506																						
91	"Bendjelloul"		49		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.681	.691	-.046	.867	.353856	.0575658							-.281	.16	.878	.018	-.297																						
92	"Bene"	57	50		"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.795	.564	.047	.929	.5240688	.2931672	.71	.575	.775	.915	.158688	.2675439							-.629	-.443	.885	.006	-.603					1	0										0	0					
93	"Bengana"		51		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.789	.673	.676	.956	.399456	.2916667							-.886	-.249	.934	.014	-.952					2	1																
94	"Benoist"	58	52	46	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.87	-.493	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.845	-.535	1	-1.208443	-.3879504	.802	-.334	1	.011	.805																						
95	"Benoit"	59	53	47	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.965	-.943	-.333	1	-.997728	-.1787281	.991	-.846	-.533	1	-1.208443	-.5009168	.803	-.335	1	.013	.804																						
96	"Benouville"		54		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.853	.706	-.709	.961	.231648	-.1924342							.199	.694	.95	.002	.241							2	2														
97	"Bentaieb"	60			"Musul, Ind."	"Not seated"	"Not seated"	"Other"	"Not Seated"	"Not Seated"	.857	.691	.015	.975	.5526072	-.2698176													-.535	-.049	.966	.053	-.537																						
98	"Beranger"	62			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.916	.81	.154	.991	.5811456	-.1634472													-.481	-.068	.988	.064	-.496											2	"not dissident"	0									
99	"Bere"			45	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.719	.473	-.093	.911	-.1382352	-.0431056	.147	-.051	.861	.009	.168																				0	"favor school aid"	0
100	"Bergasse"	63	56	48	"PRL"	"RPF, URAS, RS"	"IPAS"	"Right"	"Gaullist"	"Right"	.825	.238	.971	.993	-.0441048	1.473619	.838	.815	-.579	.968	.448704	-.2450658	.832	.851	.126	.962	.4845664	-.141208	-.134	.512	.968	.011	-.152														4	4			2	1			
101	"Berger"	64			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.461	.654																						
102	"Bergeret"	65			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.93	.822	.254	.994	.5811456	-.1634472													-.507	-.064	.991	.065	-.496											2	"not dissident"	0									
103	"Berlioz"	66			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
104	"Bernard"		57		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.703	.603	-.523	.875	.007296	-.1370614							-.004	.341	.857	.01	.007					0	2																
105	"Berrang"			49	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.945	.794	-.608	1	.1248576	-1.022643	.21	.524	.992	.002	.245																						
106	"Berthet"		58	50	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.946	.242	.602	1	-.663936	.2044956	.954	.277	.961	1	-.0490512	.6525296	-.108	-.772	1	.049	-.095																						
107	"Berthom'"			51	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.938	.799	-.601	.993	.1426944	-1.073181	.36	.621	.986	.118	.333																						
108	"Bessac"	67	59		"MRP"	"Ind. Paysan"	"Not seated"	"Christian Democrat"	"Right"	"Not Seated"	.79	.582	.218	.937	.5941176	0	.728	.726	-.079	.855	.441408	-.0416667							-.526	-.003	.885	.002	-.515									0	1	2	"dissident"	1									
109	"Besset"	68	60	52	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.966	-.945	-.328	1	-.997728	-.1787281	.992	-.844	-.537	1	-1.208443	-.3879504	.802	-.334	1	.011	.805																						
110	"Besson"			53	"Not seated"	"Not seated"	"Rad. (Faure)"	"Not seated"	"Not Seated"	"Radical"													.784	.73	.171	.933	.4815936	-.0505376	-.21	.282	.933	.009	-.259																						
111	"Betolaud"	69			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.784	.443	.636	.967	.5085024	.7056768													-.572	.267	.967	.011	-.556														1	0							
112	"Bettencount"		61	54	"Not seated"	"Rep. Indep."	"IPAS"	"Not seated"	"Right"	"Right"							.84	.765	.338	.948	.40128	.1748904	.811	.755	.232	.967	.4667296	-.0951296	-.935	-.01	.935	.052	-.831									0	0								0	0			
113	"Beugniez"	70			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.907	.829	.21	.991	.5811456	-.1634472													-.535	-.049	.991	.055	-.54											2	"not dissident"	0									
114	"Bianchini"	71			"Non Inscrit"	"Not seated"	"Not seated"	"Non-Affiliated"	"Not Seated"	"Not Seated"	.95	.699	-.715	.982	.4592088	-.8146416													-.136	-.823	.988	.082	-.123																						
115	"Bichet"	72	62	55	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.911	.799	.235	.988	.5811456	-.1634472	.798	.758	.415	.954	.384864	.0202851	.907	.628	.724	.978	.312144	.2556608	-.53	-.059	.974	.007	-.525			2	3							1	"not dissident"	0									
116	"Bidault"	73	63	56	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.926	.882	.096	.994	.6382224	-.2309016	.802	.804	.424	.946	.432288	.0246711	.838	.656	.515	.95	.2957936	.282416	-.52	-.027	.948	.006	-.535			2	3							2	"not dissident"	0									
117	"Bignon"		64		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.845	.66	-.751	.936	.20976	-.1902412							-.027	.369	.933	.004	-.041							3	1														
118	"Billat"	74	65	57	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.99	-.859	-.511	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.844	-.537	1	-1.208443	-.3879504	.802	-.334	1	.013	.805																						
119	"Billeres"	75	66	58	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.84	.617	.115	.957	.570768	.3709992	.746	.578	.786	.956	.10944	.2335526	.908	.48	.844	.993	.274984	.981024	-.635	-.454	.93	.004	-.553					0	0										0	0			4	"favor school aid"	0
120	"Billiemaz"		67		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.731	.69	.314	.888	.366624	.0476974							-.528	-.101	.926	.014	-.504			1	0																		
121	"Billotte"		68		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.777	.754	-.552	.918	.44688	-.2362939							-.124	.475	.928	.028	-.068																						
122	"Billoux"	76	69	59	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.991	-.836	-.549	1	-1.208443	-.3879504	.802	-.334	1	.013	.805																						
123	"Binot"	77	70	60	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.934	.668	-.744	.979	.4592088	-.8146416	.919	.24	.435	1	-.581856	.160636	.955	.277	.961	1	-.0654016	.683744	-.101	-.808	.989	.008	-.11	0	0																				
124	"Biondi"	78			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.904	.751	-.216	.991	.51888	-.6044952													-.178	-.622	.976	.015	-.309																						
125	"Biscarlet"	79			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.464	.654																						
126	"Bissol"	80	71	61	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.87	-.492	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.991	-.844	-.537	1	-1.208443	-.3879504	.802	-.334	1	.014	.805																						
127	"Blachette"		72		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.816	.768	.097	.906	.481536	-.0109649							-.759	-.023	.921	.095	-.761									0	0												
128	"Blanchet"	81			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592													.587	0	1	.47	.654																						
129	"Blocquaux"	82			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.933	.843	.237	.994	.5811456	-.1634472													-.535	-.049	.994	.057	-.54											2	"not dissident"	0									
130	"Blondeau"			62	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.834	-.552	1	-1.208443	-.3879504	.766	0	1	.248	.826																						
131	"Boccagny"	83		63	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.992	-.842	-.54	1	-1.208443	-.3879504	.766	0	1	.34	.828																						
132	"Bocoum B"			64	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"													.883	.574	.529	.976	.0356736	.2630928	-.036	-.032	.941	.065	-.051																				3		0
133	"Bocquet"	84			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.936	.853	.265	.991	.5811456	-.1634472													-.538	-.048	.991	.05	-.54											2	"not dissident"	0									
134	"Boganda"	85	73	65	"MRP"	"Non Inscrit"	"Not seated"	"Christian Democrat"	"Right"	"Not Seated"	.808	.689	0	.96	.5655792	-.2153352	.826	.83	.094	.943	.94848	.0367325							-.524	-.022	.921	.004	-.528									2	0	2	"not dissident"	0									
